r(t) - SetPoint; t - Tempo;e(t) - Erro;u(t) - Saído do Controlador;y(t) - Variável de Processo
1;0;1;1;0
1;0.02;1;1;0.0027557967783081
1;0.04;1;1;0.0189121876382728
1;0.06;1;1;0.0349677341568983
1;0.08;1;1;0.0630497536192179
1;0.1;1;1;0.0979697441331201
1;0.12;1;1;0.138866659985198
1;0.14;1;1;0.184888262666676
1;0.16;1;1;0.235198627322299
1;0.18;1;1;0.288984915424931
1;0.2;1;1;0.345463405056848
1;0.22;1;1;0.403884777970134
1;0.24;1;1;0.463538669798992
1;0.26;1;1;0.523757496382342
1;0.28;1;1;0.583919575109914
1;0.3;1;1;0.643451565520437
1;0.32;1;1;0.701830258054581
1;0.34;1;1;0.758583743902477
1;0.36;1;1;0.813292002296131
1;0.38;1;1;0.865586944396243
1;0.4;1;1;0.92708438385527
1;0.42;1;1;0.961720975985738
1;0.44;1;1;1.00507717284392
1;0.46;1;1;1.04505123357481
1;0.48;1;1;1.08151934018107
1;0.5;1;1;1.11440085999981
1;0.52;1;1;1.14365579972761
1;0.54;1;1;1.1692820649518
1;0.56;1;1;1.19131256645679
1;0.58;1;1;1.20981221287237
1;0.6;1;1;1.22487482728054
1;0.62;1;1;1.23662002323514
1;0.64;1;1;1.24519007331279
1;0.66;1;1;1.25074680083897
1;0.68;1;1;1.25346852285431
1;0.7;1;1;1.25354706973683
1;0.72;1;1;1.25118490420525
1;0.74;1;1;1.24659235972736
1;0.76;1;1;1.23998501567115
1;0.78;1;1;1.23158122389042
1;0.8;1;1;1.22159979885284
1;0.82;1;1;1.21025788091718
1;0.84;1;1;1.19115970028206
1;0.86;1;1;1.18434120430756
1;0.88;1;1;1.16654181175358
1;0.9;1;1;1.15172404418979
1;0.92;1;1;1.13658859795737
1;0.940000000000001;1;1;1.1213052347416
1;0.960000000000001;1;1;1.10603208469477
1;0.980000000000001;1;1;1.09091502227388
1;1;1;1;1.07608720775084
1;1.02;1;1;1.06166878606044
1;1.04;1;1;1.04776673378107
1;1.06;1;1;1.03447484432871
1;1.08;1;1;1.02187384087988
1;1.1;1;1;1.01003160611898
1;1.12;1;1;0.999003517622126
1;1.14;1;1;0.98883287753499
1;1.16;1;1;0.979551425169322
1;1.18;1;1;0.971179921220635
1;1.2;1;1;0.96372879249077
1;1.22;1;1;0.957198826272536
1;1.24;1;1;0.951581903910443
1;1.26;1;1;0.946861763481543
1;1.28;1;1;0.943014782033909
1;1.3;1;1;0.940010768367689
1;1.32;1;1;0.937813757935536
