r(t) - SetPoint; t - Tempo;e(t) - Erro;u(t) - Saído do Controlador;y(t) - Variável de Processo
1;0;1;1;0
1;0.02;0.998766757594514;0.998766757594514;0.00123324240548556
1;0.04;0.989210312113874;0.989210312113874;0.0107896878861264
1;0.06;0.970927576670435;0.970927576670435;0.029072423329565
1;0.08;0.944878415598065;0.944878415598065;0.055121584401935
1;0.1;0.912064842347262;0.912064842347262;0.087935157652738
1;0.12;0.873555351045681;0.873555351045681;0.126444648954319
1;0.14;0.830530489301277;0.830530489301277;0.169469510698723
1;0.16;0.7841599709282;0.7841599709282;0.2158400290718
1;0.18;0.735567345759089;0.735567345759089;0.264432654240911
1;0.2;0.685766503674772;0.685766503674772;0.314233496325228
1;0.22;0.635829121338004;0.635829121338004;0.364170878661996
1;0.24;0.586690124166939;0.586690124166939;0.413309875833061
1;0.26;0.539194596298388;0.539194596298388;0.460805403701612
1;0.28;0.494143016817854;0.494143016817854;0.505856983182146
1;0.3;0.452235072704399;0.452235072704399;0.547764927295601
1;0.32;0.4140630749734;0.4140630749734;0.5859369250266
1;0.34;0.380107822360167;0.380107822360167;0.619892177639833
1;0.36;0.350736882285711;0.350736882285711;0.649263117714289
1;0.38;0.326205159361464;0.326205159361464;0.673794840638536
1;0.4;0.306657586611655;0.306657586611655;0.693342413388345
1;0.42;0.292133744966434;0.292133744966434;0.707866255033566
1;0.44;0.280945203013;0.280945203013;0.719054796987
1;0.46;0.277373406304806;0.277373406304806;0.722626593695194
1;0.48;0.278324040602733;0.278324040602733;0.721675959397267
1;0.5;0.283464323410243;0.283464323410243;0.716535676589757
1;0.52;0.292403418962183;0.292403418962183;0.707596581037817
1;0.54;0.304704811989877;0.304704811989877;0.695295188010123
1;0.56;0.319897873351688;0.319897873351688;0.680102126648312
1;0.58;0.337489274388384;0.337489274388384;0.662510725611616
1;0.6;0.356974041151904;0.356974041151904;0.643025958848096
1;0.62;0.377846061390393;0.377846061390393;0.622153938609607
1;0.64;0.399607880726604;0.399607880726604;0.600392119273396
1;0.66;0.421779649518864;0.421779649518864;0.578220350481136
1;0.68;0.443907107858236;0.443907107858236;0.556092892141764
1;0.7;0.46560221272865;0.46560221272865;0.53439778727135
1;0.72;0.486464334969258;0.486464334969258;0.513535665030742
1;0.74;0.506131587986706;0.506131587986706;0.493868412013294
1;0.76;0.524309707257452;0.524309707257452;0.475690292742548
1;0.78;0.540753531242447;0.540753531242447;0.459246468757553
1;0.8;0.555268290301928;0.555268290301928;0.444731709698072
