r(t) - SetPoint; t - Tempo;e(t) - Erro;u(t) - Saído do Controlador;y(t) - Variável de Processo
1;0;1;1;0
1;0.08;1;1;0.0238565742761388
1;0.16;1;1;0.0552232663975059
1;0.24;1;1;0.0860920850539061
1;0.32;1;1;0.116470932831502
1;0.4;1;1;0.146367586881235
1;0.48;1;1;0.175789700909818
1;0.56;1;1;0.201150703848151
1;0.64;1;1;0.229703262994745
1;0.72;1;1;0.257802616508402
1;0.8;1;1;0.285455957977084
1;0.88;1;1;0.309292330630681
1;0.96;1;1;0.332797319168528
1;1.04;1;1;0.359260293724336
1;1.12;1;1;0.394962404075041
1;1.2;1;1;0.41093279499333
1;1.28;1;1;0.436155550149043
1;1.36;1;1;0.457896828392865
1;1.44;1;1;0.482374138477515
1;1.52;1;1;0.506462928053283
1;1.6;1;1;0.53016936398186
1;1.68;1;1;0.553499515240312
1;1.76;1;1;0.576459354474778
1;1.84;1;1;0.599054759529492
1;1.92;1;1;0.621291514951552
1;2;1;1;0.643175313471789
1;2.08;1;1;0.664711757462139
1;2.16;1;1;0.685906360369883
1;2.24;1;1;0.706764548129117
1;2.32;1;1;0.732372325802899
1;2.4;1;1;0.749995463434595
1;2.48;1;1;0.767373596175417
1;2.56;1;1;0.789362378707548
1;2.64;1;1;0.808578442199354
1;2.72;1;1;0.827489495265557
1;2.8;1;1;0.846100379239023
1;2.88;1;1;0.86441585860769
1;2.96;1;1;0.882440622234304
1;3.04;1;1;0.900179284556793
1;3.12;1;1;0.91763638676959
1;3.2;1;1;0.934816397986202
1;3.28;1;1;0.951723716383325
1;3.36;1;1;0.968362670326808
1;3.44;1;1;0.982704962639369
1;3.52;1;1;0.998852161176741
1;3.6;1;1;1.01671160507807
1;3.68;1;1;1.03231902706401
1;3.76;1;1;1.04767871743602
1;3.84;1;1;1.0609183219144
1;3.92;1;1;1.0758240648326
1;4;1;1;1.09593391595317
1;4.08;1;1;1.10492952379117
1;4.16;1;1;1.119136690988
1;4.24;1;1;1.13311835236699
1;4.32;1;1;1.14687808730981
1;4.4;1;1;1.16041941838377
1;4.48;1;1;1.17374581224356
1;4.56;1;1;1.1868606805188
