r(t) - SetPoint; t - Tempo;e(t) - Erro;u(t) - Saído do Controlador;y(t) - Variável de Processo
1;0;1;1;0
1;0.02;1;1;0
1;0.04;1;1;0.000398643433786904
1;0.06;1;1;0.00158896322882988
1;0.08;1;1;0.00356213462649496
1;0.1;1;1;0.00630879755721887
1;0.12;1;1;0.00981906941718497
1;0.14;1;1;0.0140825581337855
1;0.16;1;1;0.0190883755065976
1;0.18;1;1;0.0248251508105115
1;0.2;1;1;0.0312810446475771
1;0.22;1;1;0.0384437630340662
1;0.24;1;1;0.0463005717091987
1;0.26;1;1;0.0548383106519379
1;0.28;1;1;0.064043408792229
1;0.3;1;1;0.0739018989030374
1;0.32;1;1;0.0843994326595336
1;0.34;1;1;0.0955212958517761
1;0.36;1;1;0.107252423737255
1;0.38;1;1;0.119577416519684
1;0.4;1;1;0.132480554940469
1;0.42;1;1;0.145945815969316
1;0.44;1;1;0.1599568885805
1;0.46;1;1;0.174497189601401
1;0.48;1;1;0.189549879619954
1;0.5;1;1;0.205097878937779
1;0.52;1;1;0.225203025164594
1;0.54;1;1;0.237610381179504
1;0.56;1;1;0.254539667230341
1;0.58;1;1;0.271893860851387
1;0.6;1;1;0.294156630614909
1;0.62;1;1;0.307804661871121
1;0.64;1;1;0.326324769871768
1;0.66;1;1;0.349967652463837
1;0.68;1;1;0.369253568490608
1;0.7;1;1;0.388849635523842
1;0.72;1;1;0.408737169819361
1;0.74;1;1;0.428897441542997
1;0.76;1;1;0.449311690137398
1;0.78;1;1;0.469961139560388
1;0.8;1;1;0.506607159864968
1;0.82;1;1;0.51189054974373
1;0.84;1;1;0.53313301612708
1;0.86;1;1;0.554535723992078
1;0.88;1;1;0.576080043204979
1;0.9;1;1;0.597747416287969
1;0.92;1;1;0.619519372467233
1;0.940000000000001;1;1;0.641377541512239
1;0.960000000000001;1;1;0.663303667357292
1;0.980000000000001;1;1;0.685279621496675
1;1;1;1;0.723803422975586
1;1.02;1;1;0.729309217154458
1;1.04;1;1;0.762329580721024
1;1.06;1;1;0.778818256534365
1;1.08;1;1;0.795282885619235
1;1.1;1;1;0.817185881201563
1;1.12;1;1;0.839016451105236
1;1.14;1;1;0.860757939712271
1;1.16;1;1;0.882393928036018
1;1.18;1;1;0.903908244435507
1;1.2;1;1;0.925284975026296
1;1.22;1;1;0.946508473782573
1;1.24;1;1;0.967563372325528
1;1.26;1;1;0.988434589393342
1;1.28;1;1;1.00910733998841
1;1.3;1;1;1.02956714419772
1;1.32;1;1;1.04979983568268
1;1.34;1;1;1.06979156983481
1;1.36;1;1;1.08952883159422
1;1.38;1;1;1.10899844292805
1;1.4;1;1;1.12818756996612
1;1.42;1;1;1.14708372979178
1;1.44;1;1;1.16567479688568
1;1.46;1;1;1.18394900922112
1;1.48;1;1;1.2018949740093
1;1.5;1;1;1.21950167309354
1;1.52;1;1;1.23675846799169
1;1.54;1;1;1.25365510458606
1;1.56;1;1;1.27018171746083
1;1.58;1;1;1.28632883388688
1;1.6;1;1;1.30208737745439
1;1.62;1;1;1.31744867135389
