r(t) - SetPoint; t - Tempo;e(t) - Erro;u(t) - Saído do Controlador;y(t) - Variável de Processo
1;0;1;1;0
1;0.02;1;1;1.24791666927457E-05
1;0.04;1;1;0.000309895914375657
1;0.06;1;1;0.000789334180980921
1;0.08;1;1;0.00176400641521072
1;0.1;1;1;0.00311469360929724
1;0.12;1;1;0.00483341527804089
1;0.14;1;1;0.00691220321387766
1;0.16;1;1;0.00934310439928203
1;0.18;1;1;0.0121181838554851
1;0.2;1;1;0.0152295274276405
1;0.22;1;1;0.0195795599137107
1;0.24;1;1;0.022429470687435
1;0.26;1;1;0.0265023703650245
1;0.28;1;1;0.0308801392667278
1;0.3;1;1;0.0355550069225848
1;0.32;1;1;0.0405192390731813
1;0.34;1;1;0.0471197280162174
1;0.36;1;1;0.0527069552963395
1;0.38;1;1;0.0585586887399721
1;0.4;1;1;0.0646673734096931
1;0.42;1;1;0.0710255022097525
1;0.44;1;1;0.0759533086006429
1;0.46;1;1;0.0844603151198816
1;0.48;1;1;0.0915222421781673
1;0.5;1;1;0.0988041030167429
1;0.52;1;1;0.106298658940991
1;0.54;1;1;0.113998730361961
1;0.56;1;1;0.121897198469214
1;0.58;1;1;0.129987006846465
1;0.6;1;1;0.138261163030537
1;0.62;1;1;0.146712740014113
1;0.64;1;1;0.155334877692808
1;0.66;1;1;0.164120784257093
1;0.68;1;1;0.173063737529619
1;0.7;1;1;0.182157086248476
1;0.72;1;1;0.191394251296961
1;0.74;1;1;0.200768726880426
1;0.76;1;1;0.210274081650787
1;0.78;1;1;0.219903959779281
1;0.8;1;1;0.229652081978076
1;0.82;1;1;0.239512246471342
1;0.84;1;1;0.249478329916394
1;0.86;1;1;0.259544288275541
1;0.88;1;1;0.269704157639259
1;0.9;1;1;0.279952055001336
1;0.92;1;1;0.290282178986622
1;0.940000000000001;1;1;0.300688810532058
1;0.960000000000001;1;1;0.311166313521604
1;0.980000000000001;1;1;0.32170913537576
1;1;1;1;0.332311807596323
1;1.02;1;1;0.342968946267069
1;1.04;1;1;0.353675252511015
1;1.06;1;1;0.364425512904959
1;1.08;1;1;0.375214599851966
1;1.1;1;1;0.386037471912489
1;1.12;1;1;0.39688917409482
1;1.14;1;1;0.407764838105544
1;1.16;1;1;0.418659682560713
1;1.18;1;1;0.429569013158413
1;1.2;1;1;0.44048822281343
1;1.22;1;1;0.451412791754711
1;1.24;1;1;0.467800021860803
1;1.26;1;1;0.478718788471797
1;1.28;1;1;0.486901677881622
1;1.3;1;1;0.495077323373376
1;1.32;1;1;0.508682648152361
1;1.34;1;1;0.516830652743551
1;1.36;1;1;0.527673521411935
1;1.38;1;1;0.538488734478689
1;1.4;1;1;0.549272556592839
1;1.42;1;1;0.562702639958781
1;1.44;1;1;0.57340262212513
1;1.46;1;1;0.584059668698555
1;1.48;1;1;0.594670409528222
1;1.5;1;1;0.605231559534449
1;1.52;1;1;0.615739918325113
1;1.54;1;1;0.626192369786129
1;1.56;1;1;0.636585881646653
1;1.58;1;1;0.646917505019693
1;1.6;1;1;0.657184373918797
1;1.62;1;1;0.667383704751484
1;1.64;1;1;0.677512795790073
1;1.66;1;1;0.687569026620568
1;1.68;1;1;0.697549857570262
1;1.7;1;1;0.707452829114693
1;1.72;1;1;0.71727556126461
1;1.74;1;1;0.729437641702313
1;1.76;1;1;0.736671181286857
1;1.78;1;1;0.746239701072186
1;1.8;1;1;0.755719243933096
1;1.82;1;1;0.765107817705371
1;1.84;1;1;0.77440350569726
1;1.86;1;1;0.78360446595406
1;1.88;1;1;0.792708930507659
